location	fakeBatchPredictor0	fakeBatchPredictor1	fakeBatchPredictor2	fakeBatchPredictor3	fakeBatchPredictor4
Arizona	0.17247377069420955	0.13428319735590732	0.5867308429686102	0.6026205798888602	0.8682064207940934
California	0.6426222062905406	0.7285518696779072	0.13098415312206158	0.6982330839031122	0.40041770826753476
Colorado	0.6350937890387826	0.20418229490311957	0.04842981253271794	0.5098046394610843	0.960786799439567
Connecticut	0.6047476102572994	0.933172062776221	0.5023441949561136	0.07408079975767956	0.7160267108145487
Florida	0.063565944650535	0.4435510916777645	0.5740529333177434	0.884261560624051	0.0743971942666718
Georgia	0.7043347424052782	0.20506999652742353	0.0003508878934420645	0.5735897964582406	0.3418402319105097
Idaho	0.8666322989907995	0.27901133609085993	0.29840764732722025	0.421875731348046	0.7310461110721587
Illinois	0.75326674057816	0.07742091926223571	0.2086517383735922	0.21942492875699915	0.11533299659542218
Indiana	0.4125485574767357	0.8874018282835997	0.9420269105186543	0.042698562456560896	0.050858511397888884
Louisiana	0.11425361602975004	0.598351285346968	0.8868634661542215	0.2702500122156797	0.7521095134206015
Mississippi	0.5228953701305848	0.7753944102971724	0.31902876560740956	0.25931385260158557	0.47365171453962696
Nebraska	0.09236617010628845	0.12452895891627191	0.42208795935601917	0.09030987397337376	0.740878250624524
Nevada	0.7691540206799226	0.12777779733628147	0.275770270743261	0.8931709359781023	0.2310549417474067
New Mexico	0.5001385200168418	0.5074219356450155	0.752178595281982	0.4310077572871346	0.026204396659054385
New York	0.3626832730173891	0.6858708811984691	0.1444951183154347	0.138672853427098	0.9448967085134701
North Dakota	0.12920803182286167	0.7492602369751166	0.8580336903688482	0.054555163469889756	0.5703950044353634
Ohio	0.588996609730568	0.08983355017737982	0.21058358398409738	0.42912621136399454	0.165209534660249
South Dakota	0.6919885983831087	0.7070740150681871	0.7452743191905365	0.8800217931203113	0.14044278138327437
Texas	0.8146264641506661	0.9774811634950343	0.6622492721126377	0.3543591263540007	0.48356910656998475
Utah	0.8434903671131735	0.29062992433266166	0.8840179872894155	0.6417968363201145	0.3980351264077824
Wisconsin	0.9829092184062397	0.5077249312494537	0.48606360493268763	0.8113619621995997	0.35822334712320514
