fakeSinglePredictor0,Arizona,California,Colorado,Connecticut,Florida,Georgia,Idaho,Illinois,Indiana,Louisiana,Mississippi,Nebraska,Nevada,New Mexico,New York,North Dakota,Ohio,South Dakota,Texas,Utah,Wisconsin
Arizona,0,0.473957779226,0.40268499806027236,0.8002690983485782,0.5937218306784988,0.6065696378511354,0.3266921638109037,0.18451920691989254,0.17090789043090193,0.5343875112327479,0.44450235993130116,0.15085682488982666,0.16727117237092703,0.9332005759502298,0.1797787292785451,0.759633679244963,0.5611293160166549,0.8890864427803845,0.8290608600166404,0.9936432433027136,0.7384923719517781,0.0007546235076114627
California,0.5297026872544216,0,0.18845284108977112,0.9720530208749205,0.4820330997369192,0.20664167268357525,0.611747939305383,0.17388479390675893,0.7886243916964145,0.4689975627859636,0.6461427858996135,0.7124160940839424,0.9386524289642927,0.9689869997646199,0.8998722786111802,0.964991637273758,0.3171815268530367,0.08970099596948222,0.8414912855647131,0.7818851666493206,0.2733979923765708,0.29353750346871454
Colorado,0.4562680465750526,0.6516550985368719,0,0.5997083036779526,0.542628721655836,0.3181405502986612,0.7008533080826137,0.9937387404761833,0.6357016669433194,0.3285561327708032,0.1760390923177113,0.9474825590715179,0.2587717154064104,0.35935676647055337,0.30416710685503034,0.541416916644698,0.9873676731874418,0.05771479262183821,0.9694883014117947,0.49916066000809833,0.47676688819944624,0.16830365066214503
Connecticut,0.16950610683109335,0.11042268602473371,0.7116567624077769,0,0.49557156459042995,0.1562331657599424,0.8764298672670593,0.05174741660186655,0.5880282205658482,0.5196522748153032,0.46134263509313744,0.1766305947927438,0.6809062449239555,0.6717812821769718,0.46625218873888086,0.9038669960906361,0.08189699263034755,0.8567263810843873,0.8526121786488319,0.4433520017111193,0.5357448451373097,0.4372650157622576
Florida,0.9832049391664497,0.5174031416353535,0.9113810693825409,0.6959426479270665,0,0.5934092000616903,0.1371057019250661,0.6054480334679093,0.22057984274055664,0.3694064245672426,0.3187953441295628,0.18741469669385102,0.30966030105635156,0.8908949133454278,0.9222601761069888,0.49251385373507983,0.18759499072220653,0.09386334263418505,0.9035587560072955,0.07135775025207591,0.24280808664044007,0.271381593660015
Georgia,0.601999102712928,0.04089402503336004,0.9165077609561704,0.6696756003938774,0.8791701586753874,0,0.5647854556874934,0.22497770055422517,0.07915629948264269,0.9813926467703732,0.7816047821730786,0.4705653463195195,0.038779034858352546,0.3212564699513687,0.5114182952533665,0.8129896700181303,0.7084490299803271,0.13863583780142297,0.3854067154241436,0.4345299650898232,0.8950688665856177,0.5208598121407959
Idaho,0.0550495172449218,0.5149599908326762,0.3225103169483462,0.47852469529795094,0.06775370302900863,0.23825158819015702,0,0.362898941641316,0.11554393759522608,0.9802784129465539,0.9095224769463661,0.6584912905929728,0.3147456760204582,0.47502397528874996,0.28538882273947663,0.9441502240537012,0.9557897295151434,0.4817834535927751,0.4025066822891462,0.047644439597222976,0.8570105699191515,0.9788650383788159
Illinois,0.9306827607067542,0.6058836869056821,0.34308011941150596,0.8510410757045191,0.845866329473587,0.2910415103011088,0.39462417391190563,0,0.7446715766194819,0.9009570107777539,0.2945913007474761,0.6879654485655186,0.5948477496102291,0.2183950933280383,0.5511424604877049,0.3755551579228861,0.5241723419550735,0.6052929936303284,0.12885657540423734,0.3313864719006271,0.2938890062174332,0.8393667970445728
Indiana,0.14238548647646077,0.9943649493137597,0.1850249847197677,0.884493663050963,0.26506028768475254,0.5975011461482456,0.22679734517513572,0.13536463992425096,0,0.8993513518197387,0.06365547510415748,0.28204613142955814,0.20121674636433617,0.5055868145800303,0.5621827309695974,0.9159743352368099,0.031246673813281167,0.35468920470582044,0.4542326197242589,0.7739334751624737,0.9483358972690386,0.8779684558586757
Louisiana,0.150798011106541,0.5300897652521059,0.3099106807755435,0.2058648992804052,0.018026251277609928,0.5499042303852163,0.8502274953502523,0.7404231045164297,0.19145672605411046,0,0.4807142587881972,0.011136898189077593,0.6409133709560318,0.7269568144343087,0.23621306621944194,0.7609262782361275,0.37404286391268193,0.4550537046285439,0.25778867091298674,0.22287711622261341,0.030096598365138894,0.3469833074566292
