fakeSinglePredictor1,Arizona,California,Colorado,Connecticut,Florida,Georgia,Idaho,Illinois,Indiana,Louisiana,Mississippi,Nebraska,Nevada,New Mexico,New York,North Dakota,Ohio,South Dakota,Texas,Utah,Wisconsin
Arizona,0,0.024105023,0.195306312,0.204330081,0.180711576,0.290950664,0.16484578,0.533042441,0.348314941,0.411508649,0.848574031,0.97601828,0.403916368,0.380044116,0.69445594,0.902509965,0.553303948,0.417909282,0.15681617,0.253632855,0.605904075
California,0.7055246,0,0.823133401,0.322115252,0.582856886,0.865840784,0.567133227,0.706738682,0.845974742,0.053996629,0.371257347,0.974317248,0.907792667,0.58135191,0.228890301,0.392712631,0.24621075,0.675946149,0.559762788,0.134127517,0.297229281
Colorado,0.674039205,0.673856164,0,0.82214332,0.111307816,0.43571475,0.814569958,0.591301686,0.756100104,0.71230149,0.474506902,0.336127328,0.046942811,0.575078326,0.958357148,0.809971774,0.833894519,0.744977444,0.559604528,0.862631514,0.949921768
Connecticut,0.306640679,0.80513581,0.29886956,0,0.831189994,0.897494327,0.795380579,0.721731776,0.286903929,0.982555392,0.069704888,0.528174777,0.347220237,0.533846281,0.114099626,0.726658644,0.487125546,0.448298153,0.67399546,0.6401069,0.708986424
Florida,0.110959348,0.299264216,0.430993311,0.327271221,0,0.852089153,0.699673937,0.630713356,0.221075691,0.444516792,0.468046922,0.761595437,0.284815905,0.240081715,0.156827532,0.187358237,0.204404488,0.675410409,0.498265216,0.879075611,0.615558771
Georgia,0.291780413,0.111197543,0.556396943,0.045739692,0.090889342,0,0.181610626,0.192678162,0.129025827,0.919384023,0.294460997,0.815828597,0.261383498,0.734191851,0.784736362,0.825598234,0.491670462,0.941136966,0.881550707,0.579639194,0.414507442
Idaho,0.093985658,0.618822969,0.623283408,0.983790962,0.322132953,0.433614667,0,0.252400325,0.542459529,0.903378338,0.435617756,0.662008213,0.530886564,0.519284837,0.448515503,0.407182761,0.036972716,0.238482182,0.581323265,0.884264064,0.065505474
Illinois,0.230146054,0.905739106,0.390343938,0.353677215,0.745661525,0.522724789,0.726274048,0,0.150274716,0.709603878,0.718771263,0.172757603,0.333517027,0.212498451,0.665086908,0.842781391,0.267663115,0.944898635,0.600894805,0.254482501,0.877105328
Indiana,0.957987504,0.219946142,0.592452321,0.738077604,0.456152766,0.539832228,0.481659124,0.926722506,0,0.332192019,0.13185582,0.315851015,0.995261255,0.959259464,0.434646468,0.067846142,0.197833696,0.219200192,0.433609517,0.599715611,0.244566936
Louisiana,0.711541635,0.749025429,0.832009961,0.040140844,0.273985538,0.115389684,0.091744331,0.725977127,0.317244262,0,0.869010048,0.634490448,0.095824257,0.164326662,0.946544272,0.741545408,0.918989347,0.261392508,0.021573273,0.004234901,0.37495878
Mississippi,0.942935489,0.777150877,0.831233369,0.477827948,0.599676962,0.330175228,0.62600685,0.873762399,0.688891113,0.017096997,0,0.321849811,0.561482321,0.533493343,0.465554225,0.208202377,0.632737832,0.393888856,0.16926231,0.676845865,0.672482243
Nebraska,0.109973355,0.11604766,0.609441593,0.145670879,0.796157535,0.298179005,0.996931498,0.303532404,0.89193922,0.682885881,0.447583549,0,0.475873484,0.907839063,0.666855445,0.575451405,0.891184456,0.454162178,0.661032328,0.19060697,0.373829983
Nevada,0.170414363,0.183986143,0.783718095,0.715601615,0.697108015,0.685052877,0.068595612,0.424775709,0.473844112,0.303570974,0.818001591,0.969133791,0,0.713324037,0.246915016,0.002527794,0.901931062,0.817729769,0.820911806,0.099256084,0.447499119
New Mexico,0.637349307,0.471006276,0.255769253,0.733491418,0.010116394,0.846703428,0.867832683,0.780461429,0.025019083,0.293610121,0.571062487,0.767938788,0.016492061,0,0.347660362,0.571376945,0.546185367,0.759123494,0.682995424,0.548358257,0.786632171
New York,0.842286573,0.687948941,0.407369231,0.572521745,0.881748486,0.068653749,0.780094009,0.970433524,0.834004678,0.843593266,0.866208886,0.04944734,0.887585583,0.065694559,0,0.158894693,0.05643249,0.362994092,0.829167495,0.305023627,0.164215126
North Dakota,0.11399342,0.491031941,0.335103548,0.652239531,0.837924949,0.133006017,0.409840242,0.034650222,0.529674117,0.97750357,0.26545719,0.941866925,0.434773813,0.45471464,0.325168029,0,0.522134388,0.143136853,0.307032074,0.180173674,0.171368202
Ohio,0.26308278,0.606478524,0.867190112,0.44897766,0.49785025,0.709183601,0.831306722,0.892511679,0.215008278,0.462747088,0.030001292,0.217482082,0.348392304,0.002610514,0.85017631,0.681158872,0,0.299968055,0.708244644,0.915639734,0.314788871
South Dakota,0.355423435,0.381846435,0.604982055,0.838445769,0.066726884,0.406447093,0.129069803,0.835795593,0.466389568,0.543608147,0.693717271,0.267786837,0.56311448,0.229874812,0.403442135,0.184846195,0.753545082,0,0.11117078,0.732136913,0.722515774
Texas,0.954641437,0.353397046,0.619500994,0.006646825,0.868292901,0.279886883,0.391906789,0.012436751,0.487217453,0.28800616,0.13825924,0.663150368,0.190113448,0.613706171,0.647261366,0.284026593,0.781069969,0.770343536,0,0.65146565,0.929995209
Utah,0.4169686,0.387058107,0.153237988,0.761806226,0.720185059,0.465565392,0.098009261,0.978482309,0.211151759,0.665575258,0.656933103,0.41825778,0.791950963,0.553955988,0.036450754,0.650842661,0.9504535,0.441741664,0.710487631,0,0.535277552
Wisconsin,0.558409846,0.750501807,0.049804035,0.843091377,0.198335046,0.905283263,0.41032894,0.536824279,0.986946132,0.535297777,0.060698626,0.162407923,0.433505992,0.131703293,0.703521498,0.011525286,0.204046448,0.18456108,0.396704383,0.602895666,0
